Piano Duo;Klavírní duo
Open menu;Otevřít menu
Home;Úvod
About us;O duu
Members;Členky
Programs;Programy
Gallery;Galerie
Videos;Videa
References;Reference
Contact;Kontakt
Inquiry;Poptávka
Navigation;Navigace
Weddings;Svatby
Corporate events;Firemní akce
Concerts;Koncerty
Private events;Soukromé akce
Prague, Czech Republic;Praha, Česká republika
Fourhands home;Fourhands domů
Piano duo for weddings, concerts and events that deserve an exceptional musical atmosphere.;Klavírní duo pro svatby, koncerty a události, které si zaslouží výjimečnou hudební atmosféru.
Piano duo for exceptional moments;Klavírní duo pro výjimečné okamžiky
Piano duo for the exceptional moments of your life;Klavírní duo pro výjimečné okamžiky vašeho života
Non-binding inquiry;Nezávazná poptávka
Discover us;Objevte nás
Music that connects and creates emotions;Hudba, která propojuje a vytváří emoce
concerts;koncertů
years of playing;let hraní
satisfied guests;spokojených hostů
Get to know us;Poznejte nás
Our programs;Naše programy
Music for every occasion;Hudba pro každou příležitost
Romantic music for the ceremony, reception and evening entertainment.;Romantická hudba pro obřad, hostinu i večerní zábavu.
Elegant accompaniment for parties, galas and events.;Elegantní doprovod pro večírky, gala večery a eventy.
Own concert programs at prestigious venues.;Vlastní koncertní programy na prestižních místech.
Music for birthdays, anniversaries and other special occasions.;Hudba na narozeniny, výročí a jiné výjimečné události.
More information;Více informací
Video presentation;Video prezentace
Listen to us;Poslechněte si nás
Previous video;Předchozí video
Next video;Další video
Show all videos;Zobrazit všechna videa
Photo gallery;Fotogalerie
Moments in pictures;Okamžiky v obrazech
Show entire gallery;Zobrazit celou galerii
What our clients say about us;Co o nás říkají naši klienti
Planning an event?;Plánujete akci?
We would be happy to play for you.;Rády vám zahrajeme.
Name and surname;Jméno a příjmení
Email;E-mail
Event type;Typ akce
Event date;Datum akce
Your message;Vaše zpráva
Wedding;Svatba
Corporate event;Firemní akce
Concert;Koncert
Private event;Soukromá akce
Select event type;Vyberte typ akce
Send inquiry;Odeslat poptávku
Thank you for your inquiry. We will get back to you soon.;Děkujeme za poptávku. Brzy se vám ozveme.
Members of the duo;Členky dua
Two personalities, one musical dialogue.;Dvě osobnosti, jeden hudební dialog.
Pianist;Pianistka
Education;Vzdělání
Experience;Zkušenosti
Awards;Ocenění
Concerts, weddings and events with atmosphere.;Koncerty, svatby a události s atmosférou.
Video gallery;Video galerie
Listen to Fourhands;Poslechněte si Fourhands
Selection of concert performances and music samples.;Výběr koncertních vystoupení a hudebních ukázek.
Piano duo Fourhands;Klavírní duo Fourhands
Kateřina Konopová;Kateřina Konopová
Irena Andruško;Irena Andruško
